"Tabela 4709 - População residente, Variação absoluta de população residente e Taxa de crescimento geométrico"
"Variável - População residente (Pessoas)"
"Cód.";"Unidade da Federação e Município";"Ano"
"Cód.";"Unidade da Federação e Município";"2022"
"21";"Maranhão";"6776699"
"2100055";"Açailândia (MA)";"106550"
"2100105";"Afonso Cunha (MA)";"6144"
"2100154";"Água Doce do Maranhão (MA)";"12142"
"2100204";"Alcântara (MA)";"18467"
"2100303";"Aldeias Altas (MA)";"23286"
"2100402";"Altamira do Maranhão (MA)";"6447"
"2100436";"Alto Alegre do Maranhão (MA)";"24048"
"2100477";"Alto Alegre do Pindaré (MA)";"25710"
"2100501";"Alto Parnaíba (MA)";"11109"
"2100550";"Amapá do Maranhão (MA)";"7170"
"2100600";"Amarante do Maranhão (MA)";"37085"
"2100709";"Anajatuba (MA)";"25322"
"2100808";"Anapurus (MA)";"13793"
"2100832";"Apicum-Açu (MA)";"17519"
"2100873";"Araguanã (MA)";"11181"
"2100907";"Araioses (MA)";"39052"
"2100956";"Arame (MA)";"25517"
"2101004";"Arari (MA)";"29472"
"2101103";"Axixá (MA)";"11790"
"2101202";"Bacabal (MA)";"103711"
"2101251";"Bacabeira (MA)";"16966"
"2101301";"Bacuri (MA)";"16290"
"2101350";"Bacurituba (MA)";"5252"
"2101400";"Balsas (MA)";"101767"
"2101509";"Barão de Grajaú (MA)";"18984"
"2101608";"Barra do Corda (MA)";"84532"
"2101707";"Barreirinhas (MA)";"65589"
"2101731";"Belágua (MA)";"8460"
"2101772";"Bela Vista do Maranhão (MA)";"11750"
"2101806";"Benedito Leite (MA)";"5469"
"2101905";"Bequimão (MA)";"19584"
"2101939";"Bernardo do Mearim (MA)";"5840"
"2101970";"Boa Vista do Gurupi (MA)";"7574"
"2102002";"Bom Jardim (MA)";"33100"
"2102036";"Bom Jesus das Selvas (MA)";"28599"
"2102077";"Bom Lugar (MA)";"12212"
"2102101";"Brejo (MA)";"34120"
"2102150";"Brejo de Areia (MA)";"9218"
"2102200";"Buriti (MA)";"29685"
"2102309";"Buriti Bravo (MA)";"22455"
"2102325";"Buriticupu (MA)";"55499"
"2102358";"Buritirana (MA)";"12918"
"2102374";"Cachoeira Grande (MA)";"9732"
"2102408";"Cajapió (MA)";"10121"
"2102507";"Cajari (MA)";"16412"
"2102556";"Campestre do Maranhão (MA)";"12301"
"2102606";"Cândido Mendes (MA)";"19932"
"2102705";"Cantanhede (MA)";"24303"
"2102754";"Capinzal do Norte (MA)";"11374"
"2102804";"Carolina (MA)";"24062"
"2102903";"Carutapera (MA)";"24238"
"2103000";"Caxias (MA)";"156973"
"2103109";"Cedral (MA)";"10208"
"2103125";"Central do Maranhão (MA)";"7094"
"2103158";"Centro do Guilherme (MA)";"12342"
"2103174";"Centro Novo do Maranhão (MA)";"16267"
"2103208";"Chapadinha (MA)";"81386"
"2103257";"Cidelândia (MA)";"12878"
"2103307";"Codó (MA)";"114275"
"2103406";"Coelho Neto (MA)";"41658"
"2103505";"Colinas (MA)";"40316"
"2103554";"Conceição do Lago-Açu (MA)";"14915"
"2103604";"Coroatá (MA)";"59566"
"2103703";"Cururupu (MA)";"31558"
"2103752";"Davinópolis (MA)";"14404"
"2103802";"Dom Pedro (MA)";"23053"
"2103901";"Duque Bacelar (MA)";"10223"
"2104008";"Esperantinópolis (MA)";"18311"
"2104057";"Estreito (MA)";"33294"
"2104073";"Feira Nova do Maranhão (MA)";"8048"
"2104081";"Fernando Falcão (MA)";"10873"
"2104099";"Formosa da Serra Negra (MA)";"17719"
"2104107";"Fortaleza dos Nogueiras (MA)";"12640"
"2104206";"Fortuna (MA)";"16976"
"2104305";"Godofredo Viana (MA)";"10186"
"2104404";"Gonçalves Dias (MA)";"17206"
"2104503";"Governador Archer (MA)";"10231"
"2104552";"Governador Edison Lobão (MA)";"18411"
"2104602";"Governador Eugênio Barros (MA)";"13930"
"2104628";"Governador Luiz Rocha (MA)";"7063"
"2104651";"Governador Newton Bello (MA)";"10713"
"2104677";"Governador Nunes Freire (MA)";"23128"
"2104701";"Graça Aranha (MA)";"6023"
"2104800";"Grajaú (MA)";"73872"
"2104909";"Guimarães (MA)";"10290"
"2105005";"Humberto de Campos (MA)";"25680"
"2105104";"Icatu (MA)";"24794"
"2105153";"Igarapé do Meio (MA)";"13974"
"2105203";"Igarapé Grande (MA)";"10231"
"2105302";"Imperatriz (MA)";"273110"
"2105351";"Itaipava do Grajaú (MA)";"13828"
"2105401";"Itapecuru Mirim (MA)";"60440"
"2105427";"Itinga do Maranhão (MA)";"22513"
"2105450";"Jatobá (MA)";"7471"
"2105476";"Jenipapo dos Vieiras (MA)";"17076"
"2105500";"João Lisboa (MA)";"24709"
"2105609";"Joselândia (MA)";"14924"
"2105658";"Junco do Maranhão (MA)";"5146"
"2105708";"Lago da Pedra (MA)";"44403"
"2105807";"Lago do Junco (MA)";"9506"
"2105906";"Lago Verde (MA)";"14769"
"2105922";"Lagoa do Mato (MA)";"10572"
"2105948";"Lago dos Rodrigues (MA)";"8758"
"2105963";"Lagoa Grande do Maranhão (MA)";"11411"
"2105989";"Lajeado Novo (MA)";"7057"
"2106003";"Lima Campos (MA)";"11297"
"2106102";"Loreto (MA)";"11597"
"2106201";"Luís Domingues (MA)";"7161"
"2106300";"Magalhães de Almeida (MA)";"13807"
"2106326";"Maracaçumé (MA)";"21149"
"2106359";"Marajá do Sena (MA)";"7027"
"2106375";"Maranhãozinho (MA)";"13761"
"2106409";"Mata Roma (MA)";"17090"
"2106508";"Matinha (MA)";"22034"
"2106607";"Matões (MA)";"32174"
"2106631";"Matões do Norte (MA)";"17432"
"2106672";"Milagres do Maranhão (MA)";"8818"
"2106706";"Mirador (MA)";"21030"
"2106755";"Miranda do Norte (MA)";"23864"
"2106805";"Mirinzal (MA)";"13978"
"2106904";"Monção (MA)";"27751"
"2107001";"Montes Altos (MA)";"9106"
"2107100";"Morros (MA)";"18554"
"2107209";"Nina Rodrigues (MA)";"14176"
"2107258";"Nova Colinas (MA)";"5021"
"2107308";"Nova Iorque (MA)";"4320"
"2107357";"Nova Olinda do Maranhão (MA)";"14314"
"2107407";"Olho d'Água das Cunhãs (MA)";"17919"
"2107456";"Olinda Nova do Maranhão (MA)";"13577"
"2107506";"Paço do Lumiar (MA)";"145643"
"2107605";"Palmeirândia (MA)";"21059"
"2107704";"Paraibano (MA)";"18274"
"2107803";"Parnarama (MA)";"31250"
"2107902";"Passagem Franca (MA)";"17220"
"2108009";"Pastos Bons (MA)";"18802"
"2108058";"Paulino Neves (MA)";"17056"
"2108108";"Paulo Ramos (MA)";"20341"
"2108207";"Pedreiras (MA)";"37050"
"2108256";"Pedro do Rosário (MA)";"24320"
"2108306";"Penalva (MA)";"32511"
"2108405";"Peri Mirim (MA)";"11108"
"2108454";"Peritoró (MA)";"20479"
"2108504";"Pindaré-Mirim (MA)";"31429"
"2108603";"Pinheiro (MA)";"84621"
"2108702";"Pio XII (MA)";"21886"
"2108801";"Pirapemas (MA)";"17714"
"2108900";"Poção de Pedras (MA)";"17161"
"2109007";"Porto Franco (MA)";"23903"
"2109056";"Porto Rico do Maranhão (MA)";"5954"
"2109106";"Presidente Dutra (MA)";"45155"
"2109205";"Presidente Juscelino (MA)";"11356"
"2109239";"Presidente Médici (MA)";"4696"
"2109270";"Presidente Sarney (MA)";"17511"
"2109304";"Presidente Vargas (MA)";"10549"
"2109403";"Primeira Cruz (MA)";"13614"
"2109452";"Raposa (MA)";"30839"
"2109502";"Riachão (MA)";"22145"
"2109551";"Ribamar Fiquene (MA)";"7420"
"2109601";"Rosário (MA)";"38475"
"2109700";"Sambaíba (MA)";"5568"
"2109759";"Santa Filomena do Maranhão (MA)";"6697"
"2109809";"Santa Helena (MA)";"41561"
"2109908";"Santa Inês (MA)";"85014"
"2110005";"Santa Luzia (MA)";"57635"
"2110039";"Santa Luzia do Paruá (MA)";"24307"
"2110104";"Santa Quitéria do Maranhão (MA)";"23957"
"2110203";"Santa Rita (MA)";"37035"
"2110237";"Santana do Maranhão (MA)";"10567"
"2110278";"Santo Amaro do Maranhão (MA)";"13949"
"2110302";"Santo Antônio dos Lopes (MA)";"14304"
"2110401";"São Benedito do Rio Preto (MA)";"18364"
"2110500";"São Bento (MA)";"46395"
"2110609";"São Bernardo (MA)";"26943"
"2110658";"São Domingos do Azeitão (MA)";"7992"
"2110708";"São Domingos do Maranhão (MA)";"34034"
"2110807";"São Félix de Balsas (MA)";"4402"
"2110856";"São Francisco do Brejão (MA)";"9051"
"2110906";"São Francisco do Maranhão (MA)";"12064"
"2111003";"São João Batista (MA)";"18544"
"2111029";"São João do Carú (MA)";"12251"
"2111052";"São João do Paraíso (MA)";"9904"
"2111078";"São João do Soter (MA)";"16889"
"2111102";"São João dos Patos (MA)";"25020"
"2111201";"São José de Ribamar (MA)";"244579"
"2111250";"São José dos Basílios (MA)";"6957"
"2111300";"São Luís (MA)";"1037775"
"2111409";"São Luís Gonzaga do Maranhão (MA)";"17818"
"2111508";"São Mateus do Maranhão (MA)";"38829"
"2111532";"São Pedro da Água Branca (MA)";"14338"
"2111573";"São Pedro dos Crentes (MA)";"5783"
"2111607";"São Raimundo das Mangabeiras (MA)";"18672"
"2111631";"São Raimundo do Doca Bezerra (MA)";"5650"
"2111672";"São Roberto (MA)";"4544"
"2111706";"São Vicente Ferrer (MA)";"19498"
"2111722";"Satubinha (MA)";"8784"
"2111748";"Senador Alexandre Costa (MA)";"10207"
"2111763";"Senador La Rocque (MA)";"14700"
"2111789";"Serrano do Maranhão (MA)";"10202"
"2111805";"Sítio Novo (MA)";"17074"
"2111904";"Sucupira do Norte (MA)";"10238"
"2111953";"Sucupira do Riachão (MA)";"4985"
"2112001";"Tasso Fragoso (MA)";"8862"
"2112100";"Timbiras (MA)";"26484"
"2112209";"Timon (MA)";"174465"
"2112233";"Trizidela do Vale (MA)";"22484"
"2112274";"Tufilândia (MA)";"5507"
"2112308";"Tuntum (MA)";"36251"
"2112407";"Turiaçu (MA)";"37491"
"2112456";"Turilândia (MA)";"31638"
"2112506";"Tutóia (MA)";"53356"
"2112605";"Urbano Santos (MA)";"32812"
"2112704";"Vargem Grande (MA)";"43261"
"2112803";"Viana (MA)";"51442"
"2112852";"Vila Nova dos Martírios (MA)";"10362"
"2112902";"Vitória do Mearim (MA)";"30805"
"2113009";"Vitorino Freire (MA)";"30845"
"2114007";"Zé Doca (MA)";"40801"
"Fonte: IBGE - Censo Demográfico"

"Notas"
"1- Dados do Universo."
"2- Para a obtenção da variação absoluta e da taxa de crescimento geométrico do período 2010/2022 foram utilizadas a população residente em 2010 (reconstituída de acordo com a base territorial de 2022) e a população residente em 2022, sendo que para este último ano foi incluída a população estimada (aproximadamente 8 milhões de habitantes) para os domicílios particulares permanentes ocupados sem entrevista."
"3- Os dados apresentados foram atualizados em 27/10/23 e se referem aos dados coletados até o dia 28/05/2023, com a incorporação das revisões realizadas entre 29/05/2023 e 07/07/2023."
"4- Os dados referentes aos municípios Abel Figueiredo (PA) e São Pedro da Água Branca (MA) foram corrigidos no dia 22/12/2023, impactando nos totais dos estados do Pará e do Maranhão e nos totais das Grandes Regiões do Norte e Nordeste."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
