"Tabela 9923 - População residente, por situação do domicílio"
"Variável - População residente (Pessoas)"
"Cód.";"Unidade da Federação e Município";"Ano x Situação do domicílio"
"Cód.";"Unidade da Federação e Município";"2022"
"Cód.";"Unidade da Federação e Município";"Urbana"
"21";"Maranhão";"4806990"
"2100055";"Açailândia (MA)";"94580"
"2100105";"Afonso Cunha (MA)";"3035"
"2100154";"Água Doce do Maranhão (MA)";"3006"
"2100204";"Alcântara (MA)";"4987"
"2100303";"Aldeias Altas (MA)";"15716"
"2100402";"Altamira do Maranhão (MA)";"2966"
"2100436";"Alto Alegre do Maranhão (MA)";"19350"
"2100477";"Alto Alegre do Pindaré (MA)";"14079"
"2100501";"Alto Parnaíba (MA)";"8362"
"2100550";"Amapá do Maranhão (MA)";"5430"
"2100600";"Amarante do Maranhão (MA)";"15802"
"2100709";"Anajatuba (MA)";"8285"
"2100808";"Anapurus (MA)";"7716"
"2100832";"Apicum-Açu (MA)";"11593"
"2100873";"Araguanã (MA)";"5122"
"2100907";"Araioses (MA)";"11187"
"2100956";"Arame (MA)";"10557"
"2101004";"Arari (MA)";"17494"
"2101103";"Axixá (MA)";"4870"
"2101202";"Bacabal (MA)";"83031"
"2101251";"Bacabeira (MA)";"11815"
"2101301";"Bacuri (MA)";"8344"
"2101350";"Bacurituba (MA)";"1437"
"2101400";"Balsas (MA)";"89502"
"2101509";"Barão de Grajaú (MA)";"12496"
"2101608";"Barra do Corda (MA)";"58268"
"2101707";"Barreirinhas (MA)";"28711"
"2101731";"Belágua (MA)";"4448"
"2101772";"Bela Vista do Maranhão (MA)";"7028"
"2101806";"Benedito Leite (MA)";"3377"
"2101905";"Bequimão (MA)";"6005"
"2101939";"Bernardo do Mearim (MA)";"2583"
"2101970";"Boa Vista do Gurupi (MA)";"6148"
"2102002";"Bom Jardim (MA)";"16247"
"2102036";"Bom Jesus das Selvas (MA)";"18093"
"2102077";"Bom Lugar (MA)";"3876"
"2102101";"Brejo (MA)";"15992"
"2102150";"Brejo de Areia (MA)";"2990"
"2102200";"Buriti (MA)";"9890"
"2102309";"Buriti Bravo (MA)";"17040"
"2102325";"Buriticupu (MA)";"39923"
"2102358";"Buritirana (MA)";"3989"
"2102374";"Cachoeira Grande (MA)";"4339"
"2102408";"Cajapió (MA)";"3622"
"2102507";"Cajari (MA)";"3731"
"2102556";"Campestre do Maranhão (MA)";"9762"
"2102606";"Cândido Mendes (MA)";"13467"
"2102705";"Cantanhede (MA)";"16523"
"2102754";"Capinzal do Norte (MA)";"5987"
"2102804";"Carolina (MA)";"16712"
"2102903";"Carutapera (MA)";"17875"
"2103000";"Caxias (MA)";"121275"
"2103109";"Cedral (MA)";"2422"
"2103125";"Central do Maranhão (MA)";"4112"
"2103158";"Centro do Guilherme (MA)";"7142"
"2103174";"Centro Novo do Maranhão (MA)";"7365"
"2103208";"Chapadinha (MA)";"61373"
"2103257";"Cidelândia (MA)";"7063"
"2103307";"Codó (MA)";"83203"
"2103406";"Coelho Neto (MA)";"34494"
"2103505";"Colinas (MA)";"27683"
"2103554";"Conceição do Lago-Açu (MA)";"7083"
"2103604";"Coroatá (MA)";"42193"
"2103703";"Cururupu (MA)";"22523"
"2103752";"Davinópolis (MA)";"12718"
"2103802";"Dom Pedro (MA)";"16433"
"2103901";"Duque Bacelar (MA)";"5615"
"2104008";"Esperantinópolis (MA)";"10014"
"2104057";"Estreito (MA)";"25756"
"2104073";"Feira Nova do Maranhão (MA)";"2832"
"2104081";"Fernando Falcão (MA)";"2112"
"2104099";"Formosa da Serra Negra (MA)";"6527"
"2104107";"Fortaleza dos Nogueiras (MA)";"8128"
"2104206";"Fortuna (MA)";"10074"
"2104305";"Godofredo Viana (MA)";"8821"
"2104404";"Gonçalves Dias (MA)";"8218"
"2104503";"Governador Archer (MA)";"7401"
"2104552";"Governador Edison Lobão (MA)";"15417"
"2104602";"Governador Eugênio Barros (MA)";"4971"
"2104628";"Governador Luiz Rocha (MA)";"4903"
"2104651";"Governador Newton Bello (MA)";"5776"
"2104677";"Governador Nunes Freire (MA)";"15722"
"2104701";"Graça Aranha (MA)";"2843"
"2104800";"Grajaú (MA)";"47863"
"2104909";"Guimarães (MA)";"5577"
"2105005";"Humberto de Campos (MA)";"11554"
"2105104";"Icatu (MA)";"9589"
"2105153";"Igarapé do Meio (MA)";"7119"
"2105203";"Igarapé Grande (MA)";"6661"
"2105302";"Imperatriz (MA)";"262000"
"2105351";"Itaipava do Grajaú (MA)";"5965"
"2105401";"Itapecuru Mirim (MA)";"36726"
"2105427";"Itinga do Maranhão (MA)";"16923"
"2105450";"Jatobá (MA)";"3521"
"2105476";"Jenipapo dos Vieiras (MA)";"2813"
"2105500";"João Lisboa (MA)";"16974"
"2105609";"Joselândia (MA)";"7203"
"2105658";"Junco do Maranhão (MA)";"3016"
"2105708";"Lago da Pedra (MA)";"30983"
"2105807";"Lago do Junco (MA)";"4201"
"2105906";"Lago Verde (MA)";"5266"
"2105922";"Lagoa do Mato (MA)";"4986"
"2105948";"Lago dos Rodrigues (MA)";"4982"
"2105963";"Lagoa Grande do Maranhão (MA)";"7582"
"2105989";"Lajeado Novo (MA)";"3606"
"2106003";"Lima Campos (MA)";"6932"
"2106102";"Loreto (MA)";"6943"
"2106201";"Luís Domingues (MA)";"6200"
"2106300";"Magalhães de Almeida (MA)";"7608"
"2106326";"Maracaçumé (MA)";"17619"
"2106359";"Marajá do Sena (MA)";"1498"
"2106375";"Maranhãozinho (MA)";"7840"
"2106409";"Mata Roma (MA)";"8809"
"2106508";"Matinha (MA)";"8498"
"2106607";"Matões (MA)";"16251"
"2106631";"Matões do Norte (MA)";"8343"
"2106672";"Milagres do Maranhão (MA)";"1575"
"2106706";"Mirador (MA)";"10943"
"2106755";"Miranda do Norte (MA)";"19844"
"2106805";"Mirinzal (MA)";"8961"
"2106904";"Monção (MA)";"12671"
"2107001";"Montes Altos (MA)";"4861"
"2107100";"Morros (MA)";"7544"
"2107209";"Nina Rodrigues (MA)";"5723"
"2107258";"Nova Colinas (MA)";"2314"
"2107308";"Nova Iorque (MA)";"2908"
"2107357";"Nova Olinda do Maranhão (MA)";"9522"
"2107407";"Olho d'Água das Cunhãs (MA)";"10176"
"2107456";"Olinda Nova do Maranhão (MA)";"6340"
"2107506";"Paço do Lumiar (MA)";"144832"
"2107605";"Palmeirândia (MA)";"4064"
"2107704";"Paraibano (MA)";"14294"
"2107803";"Parnarama (MA)";"13278"
"2107902";"Passagem Franca (MA)";"11387"
"2108009";"Pastos Bons (MA)";"13560"
"2108058";"Paulino Neves (MA)";"6439"
"2108108";"Paulo Ramos (MA)";"11506"
"2108207";"Pedreiras (MA)";"30814"
"2108256";"Pedro do Rosário (MA)";"7857"
"2108306";"Penalva (MA)";"15248"
"2108405";"Peri Mirim (MA)";"3267"
"2108454";"Peritoró (MA)";"12623"
"2108504";"Pindaré-Mirim (MA)";"22162"
"2108603";"Pinheiro (MA)";"56660"
"2108702";"Pio XII (MA)";"12431"
"2108801";"Pirapemas (MA)";"11943"
"2108900";"Poção de Pedras (MA)";"8136"
"2109007";"Porto Franco (MA)";"19282"
"2109056";"Porto Rico do Maranhão (MA)";"2475"
"2109106";"Presidente Dutra (MA)";"32666"
"2109205";"Presidente Juscelino (MA)";"4423"
"2109239";"Presidente Médici (MA)";"3661"
"2109270";"Presidente Sarney (MA)";"8974"
"2109304";"Presidente Vargas (MA)";"4848"
"2109403";"Primeira Cruz (MA)";"4006"
"2109452";"Raposa (MA)";"30605"
"2109502";"Riachão (MA)";"11672"
"2109551";"Ribamar Fiquene (MA)";"3793"
"2109601";"Rosário (MA)";"25577"
"2109700";"Sambaíba (MA)";"2924"
"2109759";"Santa Filomena do Maranhão (MA)";"2263"
"2109809";"Santa Helena (MA)";"20924"
"2109908";"Santa Inês (MA)";"76145"
"2110005";"Santa Luzia (MA)";"27123"
"2110039";"Santa Luzia do Paruá (MA)";"18463"
"2110104";"Santa Quitéria do Maranhão (MA)";"13427"
"2110203";"Santa Rita (MA)";"17526"
"2110237";"Santana do Maranhão (MA)";"2368"
"2110278";"Santo Amaro do Maranhão (MA)";"5547"
"2110302";"Santo Antônio dos Lopes (MA)";"7030"
"2110401";"São Benedito do Rio Preto (MA)";"11984"
"2110500";"São Bento (MA)";"27638"
"2110609";"São Bernardo (MA)";"13317"
"2110658";"São Domingos do Azeitão (MA)";"5605"
"2110708";"São Domingos do Maranhão (MA)";"18464"
"2110807";"São Félix de Balsas (MA)";"1710"
"2110856";"São Francisco do Brejão (MA)";"4719"
"2110906";"São Francisco do Maranhão (MA)";"4338"
"2111003";"São João Batista (MA)";"6062"
"2111029";"São João do Carú (MA)";"6693"
"2111052";"São João do Paraíso (MA)";"5574"
"2111078";"São João do Soter (MA)";"7379"
"2111102";"São João dos Patos (MA)";"21629"
"2111201";"São José de Ribamar (MA)";"240840"
"2111250";"São José dos Basílios (MA)";"2796"
"2111300";"São Luís (MA)";"1029939"
"2111409";"São Luís Gonzaga do Maranhão (MA)";"7493"
"2111508";"São Mateus do Maranhão (MA)";"28774"
"2111532";"São Pedro da Água Branca (MA)";"11912"
"2111573";"São Pedro dos Crentes (MA)";"3147"
"2111607";"São Raimundo das Mangabeiras (MA)";"13767"
"2111631";"São Raimundo do Doca Bezerra (MA)";"1917"
"2111672";"São Roberto (MA)";"2469"
"2111706";"São Vicente Ferrer (MA)";"5537"
"2111722";"Satubinha (MA)";"3833"
"2111748";"Senador Alexandre Costa (MA)";"6227"
"2111763";"Senador La Rocque (MA)";"10103"
"2111789";"Serrano do Maranhão (MA)";"4428"
"2111805";"Sítio Novo (MA)";"5877"
"2111904";"Sucupira do Norte (MA)";"5699"
"2111953";"Sucupira do Riachão (MA)";"2690"
"2112001";"Tasso Fragoso (MA)";"6168"
"2112100";"Timbiras (MA)";"18710"
"2112209";"Timon (MA)";"155677"
"2112233";"Trizidela do Vale (MA)";"19071"
"2112274";"Tufilândia (MA)";"2993"
"2112308";"Tuntum (MA)";"17324"
"2112407";"Turiaçu (MA)";"12907"
"2112456";"Turilândia (MA)";"13599"
"2112506";"Tutóia (MA)";"29252"
"2112605";"Urbano Santos (MA)";"19704"
"2112704";"Vargem Grande (MA)";"28761"
"2112803";"Viana (MA)";"29609"
"2112852";"Vila Nova dos Martírios (MA)";"6745"
"2112902";"Vitória do Mearim (MA)";"18113"
"2113009";"Vitorino Freire (MA)";"17483"
"2114007";"Zé Doca (MA)";"27458"
"Fonte: IBGE - Censo Demográfico"

"Notas"
"1 - Dados do Universo."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
