Cód.;população_residente_por_municipio
2100055;106550
2100105;6144
2100154;12142
2100204;18467
2100303;23286
2100402;6447
2100436;24048
2100477;25710
2100501;11109
2100550;7170
2100600;37085
2100709;25322
2100808;13793
2100832;17519
2100873;11181
2100907;39052
2100956;25517
2101004;29472
2101103;11790
2101202;103711
2101251;16966
2101301;16290
2101350;5252
2101400;101767
2101509;18984
2101608;84532
2101707;65589
2101731;8460
2101772;11750
2101806;5469
2101905;19584
2101939;5840
2101970;7574
2102002;33100
2102036;28599
2102077;12212
2102101;34120
2102150;9218
2102200;29685
2102309;22455
2102325;55499
2102358;12918
2102374;9732
2102408;10121
2102507;16412
2102556;12301
2102606;19932
2102705;24303
2102754;11374
2102804;24062
2102903;24238
2103000;156973
2103109;10208
2103125;7094
2103158;12342
2103174;16267
2103208;81386
2103257;12878
2103307;114275
2103406;41658
2103505;40316
2103554;14915
2103604;59566
2103703;31558
2103752;14404
2103802;23053
2103901;10223
2104008;18311
2104057;33294
2104073;8048
2104081;10873
2104099;17719
2104107;12640
2104206;16976
2104305;10186
2104404;17206
2104503;10231
2104552;18411
2104602;13930
2104628;7063
2104651;10713
2104677;23128
2104701;6023
2104800;73872
2104909;10290
2105005;25680
2105104;24794
2105153;13974
2105203;10231
2105302;273110
2105351;13828
2105401;60440
2105427;22513
2105450;7471
2105476;17076
2105500;24709
2105609;14924
2105658;5146
2105708;44403
2105807;9506
2105906;14769
2105922;10572
2105948;8758
2105963;11411
2105989;7057
2106003;11297
2106102;11597
2106201;7161
2106300;13807
2106326;21149
2106359;7027
2106375;13761
2106409;17090
2106508;22034
2106607;32174
2106631;17432
2106672;8818
2106706;21030
2106755;23864
2106805;13978
2106904;27751
2107001;9106
2107100;18554
2107209;14176
2107258;5021
2107308;4320
2107357;14314
2107407;17919
2107456;13577
2107506;145643
2107605;21059
2107704;18274
2107803;31250
2107902;17220
2108009;18802
2108058;17056
2108108;20341
2108207;37050
2108256;24320
2108306;32511
2108405;11108
2108454;20479
2108504;31429
2108603;84621
2108702;21886
2108801;17714
2108900;17161
2109007;23903
2109056;5954
2109106;45155
2109205;11356
2109239;4696
2109270;17511
2109304;10549
2109403;13614
2109452;30839
2109502;22145
2109551;7420
2109601;38475
2109700;5568
2109759;6697
2109809;41561
2109908;85014
2110005;57635
2110039;24307
2110104;23957
2110203;37035
2110237;10567
2110278;13949
2110302;14304
2110401;18364
2110500;46395
2110609;26943
2110658;7992
2110708;34034
2110807;4402
2110856;9051
2110906;12064
2111003;18544
2111029;12251
2111052;9904
2111078;16889
2111102;25020
2111201;244579
2111250;6957
2111300;1037775
2111409;17818
2111508;38829
2111532;14338
2111573;5783
2111607;18672
2111631;5650
2111672;4544
2111706;19498
2111722;8784
2111748;10207
2111763;14700
2111789;10202
2111805;17074
2111904;10238
2111953;4985
2112001;8862
2112100;26484
2112209;174465
2112233;22484
2112274;5507
2112308;36251
2112407;37491
2112456;31638
2112506;53356
2112605;32812
2112704;43261
2112803;51442
2112852;10362
2112902;30805
2113009;30845
2114007;40801
